gene	red1	red2	red3	white1	white2	white3	log2fold	p.value	q.value
VIT_01s0010g03760.t01	1281	1915	1376	1008	1040	1094	-0.433207322	0.00053273	0.003144604
VIT_05s0020g00900.t01	2	0	0	0	0	0	-1.898831826	0.637247755	1
VIT_17s0000g04360.t01	192	304	183	21	25	26	-3.126513936	1.10E-25	1.64E-23
VIT_02s0025g00850.t01	49	115	73	80	88	70	0.133055262	0.684597664	0.814721035
VIT_06s0004g00360.t01	11164	15420	12515	12943	12561	13355	0.095351132	0.313878449	0.498361754
VIT_08s0040g00010.t01	7603	7548	7865	8238	8372	9667	0.275066021	0.02753134	0.083538973
VIT_05s0020g02410.t01	956	1065	952	1199	1512	1454	0.575284665	3.54E-06	3.77E-05
VIT_14s0030g00230.t01	0	4	0	0	0	0	-2.603111499	0.513174222	1
VIT_10s0116g01090.t01	0	5	0	0	0	0	-2.922559314	0.461212488	1
VIT_18s0001g08150.t01	3366	4064	3646	4064	4320	4555	0.31914469	0.000334283	0.002098159
VIT_01s0010g03280.t01	1	0	0	0	0	0	-0.870065105	0.831150269	1
VIT_13s0067g03470.t01	3068	3579	3407	2977	2541	2488	-0.230710774	0.075101701	0.180972811
VIT_11s0052g00070.t01	594	705	599	468	515	577	-0.189273697	0.1595623	0.314685443
VIT_15s0046g03370.t01	0	12	6	0	0	2	-2.997466839	0.140674092	0.286796785
VIT_00s0800g00020.t01	415	600	461	489	539	623	0.26460444	0.075092608	0.180969944
VIT_18s0001g10040.t01	0	0	0	8	4	21	5.987313481	0.000307047	0.001951808
VIT_08s0040g01690.t01	100	70	83	112	136	91	0.493814268	0.113727522	0.24596383
VIT_12s0034g00770.t01	401	508	577	371	488	486	-0.052464836	0.767586725	0.869511366
VIT_15s0021g02760.t01	1680	2059	1700	1426	1419	1421	-0.252333231	0.014711565	0.050525079
VIT_18s0122g01130.t01	0	0	0	2	2	9	4.635797967	0.027712152	0.083958404
VIT_18s0001g14540.t01	3318	5001	3569	3151	3498	3421	-0.131438996	0.256278664	0.435797442
VIT_11s0103g00690.t01	11	2	9	0	5	3	-1.454703993	0.26345082	0.443579191
VIT_04s0008g01990.t01	2401	2802	2230	1563	2256	2016	-0.259408228	0.067717439	0.167064563
VIT_07s0104g01250.t01	17893	21928	20587	22385	20266	19650	0.143807944	0.196054965	0.363222797
VIT_15s0107g00440.t01	149	111	125	99	168	167	0.237653009	0.419136911	0.603052523
VIT_13s0067g03110.t01	4867	5300	4985	5115	5668	5807	0.219602063	0.02824781	0.085171202
VIT_10s0003g03910.t01	652	967	665	629	716	792	0.009575193	0.948487525	0.971738877
